pid,url,title,petitioner,suburb,close_date,signatures,status,active_transport_any,cycling,pedestrian,traffic_calming,speed_limit,pedestrian_crossing,road_safety,active_transport_general,parking,traffic_congestion,road_upgrade,public_transport,parks_green_space,trees_vegetation,flooding_drainage,development_planning,community_facilities,dogs_animals,noise_amenity,petition_body_excerpt,council_response_excerpt
1,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
2,https://epetitions.brisbane.qld.gov.au/petition/view/pid/2,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
3,https://epetitions.brisbane.qld.gov.au/petition/view/pid/3,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
4,https://epetitions.brisbane.qld.gov.au/petition/view/pid/4,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
5,https://epetitions.brisbane.qld.gov.au/petition/view/pid/5,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
6,https://epetitions.brisbane.qld.gov.au/petition/view/pid/6,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
7,https://epetitions.brisbane.qld.gov.au/petition/view/pid/7,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
8,https://epetitions.brisbane.qld.gov.au/petition/view/pid/8,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
9,https://epetitions.brisbane.qld.gov.au/petition/view/pid/9,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
10,https://epetitions.brisbane.qld.gov.au/petition/view/pid/10,ePetition Title,Closing Date,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,
